GPU modelis: GeForce GT 210, Dzinēja ātrums (GPU speed): 589 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 1 GB, Atmiņas tehnoloģija: DDR2, Dzesēšana: Standard Cooler, Cena: 45.16
GPU modelis: Intel Arc A770, Dzinēja ātrums (GPU speed): 2200 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 381.05
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 381.58
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 381.85
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 383.22
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 383.63
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2505 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 383.8
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 384.96
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2580 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 387.72
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 387.75
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2491 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 392.46
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2505 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 393.16
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2355 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 393.4
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 393.8
GPU modelis: Quadro P1000, Dzinēja ātrums (GPU speed): 1266 MHz, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 395.81
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2490 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 405.24
GPU modelis: Intel Arc A770, Dzinēja ātrums (GPU speed): 2200 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 411.52
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 416.03
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 417.21
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2320 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 420.65
GPU modelis: Quadro P1000, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 421.48
GPU modelis: Intel Arc A770, Dzinēja ātrums (GPU speed): 2200 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 429.06
GPU modelis: Radeon RX 6750 XT, Dzinēja ātrums (GPU speed): 2495 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 429.09
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 432.06
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2640 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 436.17
GPU modelis: Radeon RX 6700 XT, Dzinēja ātrums (GPU speed): 2424 MHz, Barošanas ligzdas: 1x 8-pin + 1x 6-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 437.87
GPU modelis: Quadro P1000, Dzinēja ātrums (GPU speed): Nav norādīts, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 445.6
GPU modelis: Radeon RX 6750 XT, Dzinēja ātrums (GPU speed): 2512 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 445.73
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 449.52
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 454.21
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1320 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 454.21
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 463.54
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 465.31
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 465.31
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 467.51
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 472.73
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 475.08
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2640 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 476.38
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 477.57
GPU modelis: GeForce RTX 3070, Dzinēja ātrums (GPU speed): 1725 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 478.92
GPU modelis: Radeon RX 6750 XT, Dzinēja ātrums (GPU speed): 2495 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 486.67
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2685 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 490.02
GPU modelis: Radeon RX 6750 XT, Dzinēja ātrums (GPU speed): 2495 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 490.77
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 493.23
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 493.53
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 493.94
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 494.02
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2276 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 497.22
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2640 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 498.56
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2580 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 501.63
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 504.5
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 506.93
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 506.93
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 507.66
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2310 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 508.45
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 511.34
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2580 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 513.79
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2640 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 514.74
GPU modelis: Radeon RX 6800, Dzinēja ātrums (GPU speed): 1815 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 515.21
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 516.28
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 516.68
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 516.81
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 522.1
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 522.55
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2226 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 524.79
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 528.4
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 528.43
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2171 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 531.2
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2670 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 533.37
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2226 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 539.64
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2610 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 540.34
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2276 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 540.44
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2226 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 543.62
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2276 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 545.11
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 546.25
GPU modelis: GeForce RTX 3070, Dzinēja ātrums (GPU speed): 1815 MHz, Barošanas ligzdas: 1x 8-pin + 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 547.3
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 549.21
GPU modelis: Radeon RX 6750 XT, Dzinēja ātrums (GPU speed): 2554 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 550.35
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 551.63
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2610 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 552.22
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 553.61
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 558.79
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2226 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 558.91
Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Cena: 560.74
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2625 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 562.98
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 563.17
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2640 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 564.78
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 565.05
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 565.94
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2670 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 566.0
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2425 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 566.06
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2565 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 569.18
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2550 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 572.49
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2535 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 572.9
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2670 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 583.31
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2276 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 587.49
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2670 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 591.97
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2276 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 593.03
GPU modelis: GeForce RTX 4060 Ti (8GB), Dzinēja ātrums (GPU speed): 2655 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 595.14
GPU modelis: GeForce GTX 1660 SUPER, Dzinēja ātrums (GPU speed): 1785 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 6 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 596.51
GPU modelis: Radeon RX 6800 XT, Dzinēja ātrums (GPU speed): 2065 MHz, Barošanas ligzdas: 3x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 598.11
GPU modelis: Radeon RX 7700 XT, Dzinēja ātrums (GPU speed): 2226 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 600.89
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 605.32
GPU modelis: Radeon RX 7800 XT, Dzinēja ātrums (GPU speed): 2124 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 605.99
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2595 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 608.6
GPU modelis: Radeon RX 7800 XT, Dzinēja ātrums (GPU speed): 2254 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 615.23
GPU modelis: GeForce RTX 4060 Ti (16GB), Dzinēja ātrums (GPU speed): 2655 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 616.33
GPU modelis: Radeon RX 7800 XT, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 617.18
